Query 1; Tempo:189.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:190.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:163.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:247.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:185.0; Payload Request:136.0; Payload Response:189.0
Query 1; Tempo:137.0; Payload Request:136.0; Payload Response:189.0
Query 2; Tempo:240.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:290.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:270.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:217.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:335.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:232.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:320.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:230.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:375.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:242.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:349.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:296.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:238.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:286.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:311.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:329.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:316.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:295.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:303.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:279.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:346.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:256.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:240.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:226.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:246.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:224.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:210.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:322.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:211.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:339.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:227.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:300.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:270.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:195.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:400.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:282.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:321.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:212.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:280.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:305.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:286.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:222.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:233.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:225.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:289.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:267.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:297.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:370.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:232.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:232.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:244.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:247.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:377.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:313.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:257.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:199.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:316.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:349.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:251.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:286.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:283.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:209.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:298.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:390.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:223.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:299.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:307.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:219.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:273.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:235.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:266.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:292.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:254.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:237.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:224.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:225.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:253.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:239.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:245.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:288.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:226.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:275.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:256.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:218.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:266.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:284.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:258.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:260.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:357.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:467.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:279.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:220.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:280.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:318.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:261.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:290.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:264.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:256.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:228.0; Payload Request:361.0; Payload Response:2482.0
Query 2; Tempo:287.0; Payload Request:361.0; Payload Response:2482.0
Query 3; Tempo:630.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:733.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:634.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:1597.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:531.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:590.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:611.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:561.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:638.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:536.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:600.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:657.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:711.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:616.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:714.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:673.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:582.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:528.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:586.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:593.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:593.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:468.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:609.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:773.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:610.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:561.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:676.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:1252.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:638.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:543.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:705.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:695.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:617.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:493.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:589.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:741.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:532.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:653.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:514.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:578.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:681.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:634.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:680.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:751.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:571.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:730.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:594.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:562.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:559.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:805.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:589.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:608.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:1001.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:663.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:433.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:733.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:541.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:591.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:633.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:613.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:559.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:615.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:610.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:754.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:540.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:620.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:587.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:511.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:539.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:665.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:552.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:664.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:664.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:571.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:562.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:569.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:743.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:569.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:812.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:628.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:579.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:605.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:547.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:591.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:799.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:556.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:560.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:661.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:601.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:570.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:573.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:572.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:632.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:522.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:568.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:744.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:615.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:592.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:484.0; Payload Request:638.0; Payload Response:3577.0
Query 3; Tempo:694.0; Payload Request:638.0; Payload Response:3577.0
