Query 1; Tempo: 181.2725067138672; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 177.31142044067383; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 163.95163536071777; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 172.5916862487793; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 239.01653289794922; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 234.12227630615234; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 201.8411159515381; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 236.9668483734131; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 143.65720748901367; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 138.30995559692383; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 149.72925186157227; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 206.2842845916748; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 177.09851264953613; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 215.2705192565918; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 181.69546127319336; Payload Request: 43; Payload Response: 6175
Query 1; Tempo: 177.14786529541016; Payload Request: 43; Payload Response: 6175
Query 2; Tempo: 455.69348335266113; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 400.9823799133301; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 645.6072330474854; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 477.62560844421387; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 418.0412292480469; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 372.3268508911133; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 414.54243659973145; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 517.0719623565674; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 442.615270614624; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 402.3287296295166; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 406.51512145996094; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 535.6073379516602; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 453.4592628479004; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 387.188196182251; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 484.93242263793945; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 445.71495056152344; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 439.2976760864258; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 403.46455574035645; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 421.13780975341797; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 391.2780284881592; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 377.6202201843262; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 345.1042175292969; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 437.27779388427734; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 476.22203826904297; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 352.8590202331543; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 381.7138671875; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 352.3693084716797; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 341.7973518371582; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 427.35767364501953; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 428.62749099731445; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 358.97350311279297; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 392.27795600891113; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 374.31955337524414; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 349.7629165649414; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 482.50365257263184; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 432.99126625061035; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 434.59463119506836; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 390.43259620666504; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 376.63912773132324; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 364.274263381958; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 383.20159912109375; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 422.49321937561035; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 405.5483341217041; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 398.5555171966553; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 379.12654876708984; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 378.490686416626; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 371.32811546325684; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 394.7150707244873; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 351.057767868042; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 352.642297744751; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 358.78634452819824; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 373.04043769836426; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 344.77829933166504; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 455.7628631591797; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 413.45715522766113; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 413.8669967651367; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 409.60168838500977; Payload Request: 115; Payload Response: 13861
Query 2; Tempo: 460.96158027648926; Payload Request: 115; Payload Response: 13861
