Query 1; Tempo: 315.48595428466797; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 322.5514888763428; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 227.97870635986328; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 281.04162216186523; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 231.1880588531494; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 267.89236068725586; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 268.53322982788086; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 283.3247184753418; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 263.1363868713379; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 278.6238193511963; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 232.4361801147461; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 228.54065895080566; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 221.37212753295898; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 183.8858127593994; Payload Request: 138; Payload Response: 187
Query 2; Tempo: 265.0296688079834; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 439.2209053039551; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 262.5536918640137; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 322.5579261779785; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 336.4419937133789; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 229.36248779296875; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 427.3347854614258; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 216.76135063171387; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 322.04675674438477; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 201.4298439025879; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 267.23289489746094; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 398.1630802154541; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 496.40822410583496; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 220.09992599487305; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 205.702543258667; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 267.12512969970703; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 291.0604476928711; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 240.05722999572754; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 242.75588989257812; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 205.1382064819336; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 410.37607192993164; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 224.69401359558105; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 197.53408432006836; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 341.6435718536377; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 298.0778217315674; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 192.45457649230957; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 240.32211303710938; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 211.31658554077148; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 236.80448532104492; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 316.300630569458; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 268.7854766845703; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 368.0834770202637; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 252.7763843536377; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 293.6553955078125; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 181.64944648742676; Payload Request: 361; Payload Response: 2482
