Query 1; Tempo: 296.853413ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 289.544326ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 290.248386ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 301.215578ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 259.690473ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 258.619725ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 219.055649ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 351.160428ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 234.228167ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 258.829764ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 322.588801ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 274.611158ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 258.994985ms; Payload Request: 45; Payload Response: 6550
Query 1; Tempo: 269.476326ms; Payload Request: 45; Payload Response: 6550
Query 2; Tempo: 320.098586ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 443.136671ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 334.086028ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 364.519408ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 349.122182ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 316.160371ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 349.716554ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 381.958345ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 316.019417ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 306.044842ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 421.834132ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 351.180462ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 353.149938ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 341.99852ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 349.826979ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 384.844743ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 316.004786ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 384.97275ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 311.678026ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 355.288395ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 351.663683ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 326.71677ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 365.810621ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 363.490576ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 339.841568ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 427.247305ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 321.589015ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 356.572453ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 385.333693ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 357.024624ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 313.634785ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 345.61038ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 321.718056ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 390.445889ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 345.048033ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 320.895743ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 337.957155ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 363.478895ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 555.72824ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 320.926614ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 372.005613ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 386.588796ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 316.960602ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 360.006869ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 305.342886ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 407.233388ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 394.06607ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 325.189685ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 425.556844ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 349.597108ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 436.396305ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 335.662404ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 309.654994ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 373.313112ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 362.457538ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 423.737257ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 388.369035ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 353.614849ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 318.51468ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 420.577378ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 288.961719ms; Payload Request: 115; Payload Response: 15954
Query 2; Tempo: 344.144597ms; Payload Request: 115; Payload Response: 15954
