Query 1; Tempo: 219.433345ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 185.536965ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 209.598846ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 266.182319ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 241.124935ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 286.602476ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 227.474825ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 253.867934ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 244.816086ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 249.744724ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 196.955247ms; Payload Request: 138; Payload Response: 187
Query 1; Tempo: 267.851565ms; Payload Request: 138; Payload Response: 187
Query 2; Tempo: 215.903569ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 259.711527ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 186.485371ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 202.409833ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 203.836522ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 281.87018ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 346.248572ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 203.150245ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 231.542163ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 185.514499ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 241.487913ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 225.344562ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 243.876241ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 219.588358ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 243.646907ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.197892ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 260.650837ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 279.45013ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.380515ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 251.513386ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 216.367921ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 212.982322ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 234.917743ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 198.306125ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 155.392644ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 211.379149ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 258.917018ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 286.549481ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 192.316144ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 312.829472ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 172.549538ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 241.059473ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 201.649414ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 288.028326ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 234.869294ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 193.842805ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 209.529879ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 199.560199ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 231.577527ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 248.082982ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 228.151948ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 230.730058ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 266.293989ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 204.491099ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 389.25304ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 224.62269ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 199.731492ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 208.13793ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 220.894436ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 254.272567ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 205.268208ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 206.671163ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 213.061039ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 182.510482ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 256.127824ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 226.843207ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 268.910593ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 264.073871ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 224.323962ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 193.318444ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 181.220791ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 192.761467ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.113553ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 178.893848ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 217.957367ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 212.050512ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 202.472467ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 278.88844ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 252.875602ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 204.496493ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 189.874959ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 268.146096ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 247.374766ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 197.425599ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 226.991127ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 276.994419ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 263.084758ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 262.585633ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 232.53783ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.791023ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 210.474605ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 245.098564ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 188.459065ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 233.77011ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 188.08258ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.56504ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 235.759673ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 194.11613ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 259.768268ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 255.205716ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 211.853503ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 196.51809ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 232.666078ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 217.690842ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 292.067842ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 273.748385ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 254.300895ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 175.137036ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 231.287437ms; Payload Request: 361; Payload Response: 2482
Query 2; Tempo: 218.280177ms; Payload Request: 361; Payload Response: 2482
Query 3; Tempo: 609.850209ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 586.33956ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 642.490145ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 561.488139ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 593.490944ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 542.719896ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 496.377088ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 528.469099ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 585.756421ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 1.356316643s; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 484.34007ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 451.162543ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 465.938401ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 461.996459ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 443.84641ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 540.56768ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 532.45738ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 508.370077ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 577.550107ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 668.644027ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 526.586368ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 503.065512ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 433.905715ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 509.407397ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 485.479358ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 424.438384ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 471.070428ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 486.966577ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 673.411929ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 532.478538ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 560.919019ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 547.18409ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 559.779554ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 553.30126ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 552.416387ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 460.491298ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 519.93499ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 450.908705ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 441.090836ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 415.902152ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 464.580409ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 472.045782ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 501.409651ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 575.936704ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 433.829075ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 549.228716ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 463.693233ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 472.452444ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 674.895255ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 507.728515ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 443.346914ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 454.538359ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 526.715201ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 586.694085ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 567.661375ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 576.92233ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 584.518284ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 454.490439ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 525.445618ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 501.11447ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 447.908058ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 403.614485ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 529.398056ms; Payload Request: 638; Payload Response: 3000
Query 3; Tempo: 508.106523ms; Payload Request: 638; Payload Response: 3000
